lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,add_meaning_ids
substitute,substitute#482 | substitute#52170,,substitute,482,52170,
sufficient,sufficient#1957 | sufficient#52456,,sufficient,1957,52456,
superficial,superficial#9288 | superficial#52002,,superficial,9288,52002,
susan,Susan#50136 | susan#50710,Y,Susan,50136,50710,
sustainability,sustainability#15171 | sustainability#52378,,sustainability,15171,52378,
synthetic,synthetic#15251 | synthetic#52037,,synthetic,15251,52037,
tangible,tangible#4348 | tangible#52398,,tangible,4348,52398,
temporary,temporary#956 | temporary#52091,,temporary,956,52091,
theorist,theorist#24716 | theorist#52158,,theorist,24716,52158,
tony,tony#10341 | Tony#30131,Y,Tony,30131,10341,
toothbrushing,toothbrushing#51635 | toothbrushing#51664,,toothbrushing,51635,51664,
toxicity,toxicity#21296 | toxicity#52038,,toxicity,21296,52038,
uncertainty,uncertainty#7587 | uncertainty#52193 | uncertainty#52234 | uncertainty#52282,,uncertainty,7587,"52193,52234,52282",
under construction,under construction#52185 | under construction#52226 | under construction#52274,,under construction,52185,"52226,52274",
undermine,undermine#1449 | undermine#52435,,undermine,1449,52435,
underpinning,underpinning#14312 | underpinning#52007,,underpinning,14312,52007,
unfamiliar,unfamiliar#21126 | unfamiliar#52151,,unfamiliar,21126,52151,
unimaginable,unimaginable#9448 | unimaginable#52106,,unimaginable,9448,52106,
unique,unique#2206 | unique#52146,,unique,2206,52146,
urban,urban#1970 | urban#52089,,urban,1970,52089,
utilize,utilize#7567 | utilize#52436,,utilize,7567,52436,
valid,valid#2478 | valid#52399,,valid,2478,52399,
variation,variation#11429 | variation#52040,,variation,11429,52040,
volume,volume#5068 | volume#51984,,volume,5068,51984,
voluntary,voluntary#2229 | voluntary#52437,,voluntary,2229,52437,
